                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.78359,                0.47214,                 1.1503,                0.91049,                0.87517,                0.92855,                 0.6935,                0.99911,                0.58822,                 1.2847,                0.00109,                0.00109,                0.00109
                     92,                0.77137,                0.45656,                 1.1368,                0.91066,                0.87532,                0.92923,                0.69272,                0.99883,                0.58855,                 1.2842,               0.000991,               0.000991,               0.000991
                     93,                0.76087,                0.44623,                 1.1319,                0.91134,                0.87532,                0.92911,                0.69346,                0.99929,                0.58823,                 1.2838,               0.000892,               0.000892,               0.000892
                     94,                0.75257,                0.43529,                 1.1308,                0.91178,                0.87616,                0.92937,                0.69313,                0.99767,                0.58789,                  1.282,               0.000793,               0.000793,               0.000793
                     95,                0.74156,                0.43187,                 1.1221,                0.91087,                0.87749,                0.92933,                0.69296,                0.99723,                0.58774,                 1.2815,               0.000694,               0.000694,               0.000694
                     96,                0.73846,                0.42645,                 1.1172,                0.91157,                0.87909,                0.92922,                0.69377,                  0.997,                0.58755,                 1.2812,               0.000595,               0.000595,               0.000595
                     97,                0.73222,                0.42161,                 1.1132,                 0.9146,                0.87672,                0.92891,                0.69343,                0.99685,                0.58692,                  1.281,               0.000496,               0.000496,               0.000496
                     98,                0.72582,                0.41581,                 1.1086,                0.91929,                0.87027,                  0.929,                0.69321,                 0.9965,                0.58675,                  1.281,               0.000397,               0.000397,               0.000397
                     99,                0.72192,                0.41155,                 1.1027,                0.91771,                0.87407,                0.92921,                0.69429,                0.99598,                 0.5868,                 1.2807,               0.000298,               0.000298,               0.000298
                    100,                0.71771,                0.41028,                 1.1011,                0.91794,                0.87117,                0.92965,                 0.6947,                0.99554,                0.58675,                 1.2804,               0.000199,               0.000199,               0.000199
